Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
44.95,45.44,44.21,44.52,10446500.0,0.0,1.0,44.95,45.44,44.21,44.52,10446500.0
42.62,43.26,41.5,42.14,19418500.0,0.0,1.0,42.62,43.26,41.5,42.14,19418500.0
41.57,42.76,41.56,41.77,8354200.0,0.0,1.0,41.57,42.76,41.56,41.77,8354200.0
41.81,42.25,40.9,41.05,8700900.0,0.0,1.0,41.81,42.25,40.9,41.05,8700900.0
41.33,42.69,41.16,42.32,9836600.0,0.0,1.0,41.33,42.69,41.16,42.32,9836600.0
42.05,42.96,41.71,41.84,7347900.0,0.0,1.0,42.05,42.96,41.71,41.84,7347900.0
41.4,42.16,41.01,41.64,7920300.0,0.0,1.0,41.4,42.16,41.01,41.64,7920300.0
41.49,42.48,40.82,42.3,8072300.0,0.0,1.0,41.49,42.48,40.82,42.3,8072300.0
42.45,44.58,42.34,42.6,17393600.0,0.0,1.0,42.45,44.58,42.34,42.6,17393600.0
42.9,44.66,42.36,44.55,12533000.0,0.0,1.0,42.9,44.66,42.36,44.55,12533000.0
44.24,45.0,44.15,44.58,7131600.0,0.0,1.0,44.24,45.0,44.15,44.58,7131600.0
44.44,44.74,43.43,43.96,7396700.0,0.0,1.0,44.44,44.74,43.43,43.96,7396700.0
41.69,42.68,41.64,42.36,12830600.0,0.0,1.0,41.69,42.68,41.64,42.36,12830600.0
41.96,42.55,41.02,41.16,10602700.0,0.0,1.0,41.96,42.55,41.02,41.16,10602700.0
41.32,41.95,40.31,40.38,9695900.0,0.0,1.0,41.32,41.95,40.31,40.38,9695900.0
40.6,41.44,40.45,40.94,9027900.0,0.0,1.0,40.6,41.44,40.45,40.94,9027900.0
41.18,41.8,40.26,41.34,7714900.0,0.0,1.0,41.18,41.8,40.26,41.34,7714900.0
41.27,42.4,41.14,42.31,8038400.0,0.0,1.0,41.27,42.4,41.14,42.31,8038400.0
42.09,43.0,41.53,42.22,6152400.0,0.0,1.0,42.09,43.0,41.53,42.22,6152400.0
42.52,43.42,42.43,43.22,6320300.0,0.0,1.0,42.52,43.42,42.43,43.22,6320300.0
43.0,43.27,42.38,42.48,6761500.0,0.0,1.0,43.0,43.27,42.38,42.48,6761500.0
43.05,43.59,40.86,41.88,26323600.0,0.0,1.0,43.05,43.59,40.86,41.88,26323600.0
34.9,35.89,34.53,35.75,60518600.0,0.0,1.0,34.9,35.89,34.53,35.75,60518600.0
35.65,35.98,35.19,35.72,17304700.0,0.0,1.0,35.65,35.98,35.19,35.72,17304700.0
35.81,35.84,35.55,35.69,7112400.0,0.0,1.0,35.81,35.84,35.55,35.69,7112400.0
35.54,36.52,35.53,36.3,9602500.0,0.0,1.0,35.54,36.52,35.53,36.3,9602500.0
36.45,36.8,35.87,35.89,7938800.0,0.0,1.0,36.45,36.8,35.87,35.89,7938800.0
36.07,36.11,35.53,35.78,7982400.0,0.0,1.0,36.07,36.11,35.53,35.78,7982400.0
35.57,35.95,35.0,35.78,7841700.0,0.0,1.0,35.57,35.95,35.0,35.78,7841700.0
36.1582,36.63,35.5,36.03,6983100.0,0.0,1.0,36.1582,36.63,35.5,36.03,6983100.0
36.21,36.45,35.75,36.14,5177700.0,0.0,1.0,36.21,36.45,35.75,36.14,5177700.0
35.93,36.35,35.58,35.66,5229800.0,0.0,1.0,35.93,36.35,35.58,35.66,5229800.0
35.74,35.85,35.25,35.69,5298100.0,0.0,1.0,35.74,35.85,35.25,35.69,5298100.0
35.57,35.75,35.1,35.31,4529700.0,0.0,1.0,35.57,35.75,35.1,35.31,4529700.0
35.02,35.39,34.51,34.72,6855700.0,0.0,1.0,35.02,35.39,34.51,34.72,6855700.0
34.95,34.97,33.2,34.14,10500400.0,0.0,1.0,34.95,34.97,33.2,34.14,10500400.0
33.73,34.85,33.66,34.69,8389200.0,0.0,1.0,33.73,34.85,33.66,34.69,8389200.0
34.72,35.23,34.48,34.99,5882300.0,0.0,1.0,34.72,35.23,34.48,34.99,5882300.0
34.68,35.66,34.665,35.18,8422900.0,0.0,1.0,34.68,35.66,34.665,35.18,8422900.0
35.06,35.41,34.82,35.39,5819000.0,0.0,1.0,35.06,35.41,34.82,35.39,5819000.0
35.39,35.93,35.07,35.5,4871700.0,0.0,1.0,35.39,35.93,35.07,35.5,4871700.0
35.56,35.96,35.4,35.65,5025600.0,0.0,1.0,35.56,35.96,35.4,35.65,5025600.0
35.84,36.31,35.7,35.85,5545700.0,0.0,1.0,35.84,36.31,35.7,35.85,5545700.0
35.94,36.4,35.81,36.32,3585900.0,0.0,1.0,35.94,36.4,35.81,36.32,3585900.0
36.31,36.4299,35.75,35.83,4792900.0,0.0,1.0,36.31,36.4299,35.75,35.83,4792900.0
35.8,36.5,34.9,35.399,7412300.0,0.0,1.0,35.8,36.5,34.9,35.399,7412300.0
35.31,35.71,34.57,34.91,5872300.0,0.0,1.0,35.31,35.71,34.57,34.91,5872300.0
34.81,34.87,34.05,34.75,8010300.0,0.0,1.0,34.81,34.87,34.05,34.75,8010300.0
34.67,34.75,34.0,34.6,5433500.0,0.0,1.0,34.67,34.75,34.0,34.6,5433500.0
34.58,34.85,33.9,34.18,5070600.0,0.0,1.0,34.58,34.85,33.9,34.18,5070600.0
33.88,34.44,33.6,33.87,5370000.0,0.0,1.0,33.88,34.44,33.6,33.87,5370000.0
33.58,34.44,33.58,33.97,4858000.0,0.0,1.0,33.58,34.44,33.58,33.97,4858000.0
34.15,34.28,33.65,34.16,5294700.0,0.0,1.0,34.15,34.28,33.65,34.16,5294700.0
34.21,34.63,33.54,33.67,6084400.0,0.0,1.0,34.21,34.63,33.54,33.67,6084400.0
33.7,33.94,33.07,33.15,5490700.0,0.0,1.0,33.7,33.94,33.07,33.15,5490700.0
33.09,33.84,32.82,33.18,6323700.0,0.0,1.0,33.09,33.84,32.82,33.18,6323700.0
33.4,33.88,32.87,32.88,5337300.0,0.0,1.0,33.4,33.88,32.87,32.88,5337300.0
33.1,33.65,33.02,33.39,4326600.0,0.0,1.0,33.1,33.65,33.02,33.39,4326600.0
33.28,34.15,33.23,33.43,6137300.0,0.0,1.0,33.28,34.15,33.23,33.43,6137300.0
33.59,34.52,33.51,34.32,5349800.0,0.0,1.0,33.59,34.52,33.51,34.32,5349800.0
34.49,34.55,34.0,34.27,3554300.0,0.0,1.0,34.49,34.55,34.0,34.27,3554300.0
34.63,34.71,33.78,34.01,5018400.0,0.0,1.0,34.63,34.71,33.78,34.01,5018400.0
34.0,35.18,33.81,35.0,7342200.0,0.0,1.0,34.0,35.18,33.81,35.0,7342200.0
35.23,35.34,34.99,35.28,4933000.0,0.0,1.0,35.23,35.34,34.99,35.28,4933000.0
35.1,35.2,34.62,34.82,5276100.0,0.0,1.0,35.1,35.2,34.62,34.82,5276100.0
34.68,34.92,34.5,34.9,3807300.0,0.0,1.0,34.68,34.92,34.5,34.9,3807300.0
